  1.55275000   1.55275000 180.00000000  9.566869078492246e-6          1
  1.20000000   1.55275000 180.00000000  50244.69284550085             2
  1.20804020   1.55275000 180.00000000  47162.015614445474            3
  1.21608040   1.55275000 180.00000000  44221.78685926714             4
  1.22412060   1.55275000 180.00000000  41419.00359142091             5
  1.23216080   1.55275000 180.00000000  38748.81490445768             6
  1.24020101   1.55275000 180.00000000  36206.517134496964            7
  1.24824121   1.55275000 180.00000000  33787.54948073872             8
  1.25628141   1.55275000 180.00000000  31487.490005638243            9
  1.26432161   1.55275000 180.00000000  29302.05194542074            10
  1.27236181   1.55275000 180.00000000  27227.080271533454           11
  1.28040201   1.55275000 180.00000000  25258.548452510884           12
  1.28844221   1.55275000 180.00000000  23392.555373648593           13
  1.29648241   1.55275000 180.00000000  21625.322378915174           14
  1.30452261   1.55275000 180.00000000  19953.190405754813           15
  1.31256281   1.55275000 180.00000000  18372.617188919732           16
  1.32060302   1.55275000 180.00000000  16880.174514272996           17
  1.32864322   1.55275000 180.00000000  15472.545507693987           18
  1.33668342   1.55275000 180.00000000  14146.521947843927           19
  1.34472362   1.55275000 180.00000000  12899.001594669508           20
  1.35276382   1.55275000 180.00000000  11726.985528180725           21
  1.36080402   1.55275000 180.00000000  10627.575494285868           22
  1.36884422   1.55275000 180.00000000  9597.971256340652            23
  1.37688442   1.55275000 180.00000000  8635.467952610004            24
  1.38492462   1.55275000 180.00000000  7737.453461087673            25
  1.39296482   1.55275000 180.00000000  6901.405774101742            26
  1.40100503   1.55275000 180.00000000  6124.89038588652             27
  1.40904523   1.55275000 180.00000000  5405.557696850675            28
  1.41708543   1.55275000 180.00000000  4741.140438642248            29
  1.42512563   1.55275000 180.00000000  4129.451124330817            30
  1.43316583   1.55275000 180.00000000  3568.3795281141197           31
  1.44120603   1.55275000 180.00000000  3055.8901989319893           32
  1.44924623   1.55275000 180.00000000  2590.0200122526167           33
  1.45728643   1.55275000 180.00000000  2168.875764101075            34
  1.46532663   1.55275000 180.00000000  1790.6318111420362           35
  1.47336683   1.55275000 180.00000000  1453.5277603214079           36
  1.48140704   1.55275000 180.00000000  1155.866211226352            37
  1.48944724   1.55275000 180.00000000  896.0105539515926            38
  1.49748744   1.55275000 180.00000000  672.3828248688777            39
  1.50552764   1.55275000 180.00000000  483.4616222977032            40
  1.51356784   1.55275000 180.00000000  327.78008367211464           41
  1.52160804   1.55275000 180.00000000  203.9239254003021            42
  1.52964824   1.55275000 180.00000000  110.52954622345815           43
  1.53768844   1.55275000 180.00000000  46.28219450424785            44
  1.54572864   1.55275000 180.00000000  9.914199516038362            45
  1.55376884   1.55275000 180.00000000  0.2032664653424281           46
  1.56180905   1.55275000 180.00000000  15.970834664019982           47
  1.56984925   1.55275000 180.00000000  56.080497976841315           48
  1.57788945   1.55275000 180.00000000  119.4364864051847            49
  1.58592965   1.55275000 180.00000000  204.98220743019712           50
  1.59396985   1.55275000 180.00000000  311.69884552910816           51
  1.60201005   1.55275000 180.00000000  438.60401809690774           52
  1.61005025   1.55275000 180.00000000  584.7504858519528            53
  1.61809045   1.55275000 180.00000000  749.2249156782452            54
  1.62613065   1.55275000 180.00000000  931.146693758081             55
  1.63417085   1.55275000 180.00000000  1129.6667867760104           56
  1.64221106   1.55275000 180.00000000  1343.966648927097            57
  1.65025126   1.55275000 180.00000000  1573.2571724388088           58
  1.65829146   1.55275000 180.00000000  1816.7776793142627           59
  1.66633166   1.55275000 180.00000000  2073.794952024474            60
  1.67437186   1.55275000 180.00000000  2343.6023009160576           61
  1.68241206   1.55275000 180.00000000  2625.5186661586836           62
  1.69045226   1.55275000 180.00000000  2918.887752128932            63
  1.69849246   1.55275000 180.00000000  3223.0771922162726           64
  1.70653266   1.55275000 180.00000000  3537.4777421363115           65
  1.71457286   1.55275000 180.00000000  3861.5024999494062           66
  1.72261307   1.55275000 180.00000000  4194.5861511028015           67
  1.73065327   1.55275000 180.00000000  4536.184236943807            68
