 0  0  7       1
 0  0  8       2
 1  0  7       3
 0  1  7       4
 0  0  9       5
 1  0  8       6
 0  1  8       7
 1  1  7       8
 2  0  7       9
 0  2  7      10
 0  0 10      11
 1  0  9      12
 0  1  9      13
 1  1  8      14
 2  0  8      15
 0  2  8      16
 2  1  7      17
 1  2  7      18
 3  0  7      19
 0  3  7      20
 0  0 11      21
 1  0 10      22
 0  1 10      23
 1  1  9      24
 2  0  9      25
 0  2  9      26
 2  1  8      27
 1  2  8      28
 2  2  7      29
 3  0  8      30
 0  3  8      31
 3  1  7      32
 1  3  7      33
 4  0  7      34
 0  4  7      35
 0  0 12      36
 1  0 11      37
 0  1 11      38
 1  1 10      39
 2  0 10      40
 0  2 10      41
 2  1  9      42
 1  2  9      43
 2  2  8      44
 3  0  9      45
 0  3  9      46
 3  1  8      47
 1  3  8      48
 3  2  7      49
 2  3  7      50
 4  0  8      51
 0  4  8      52
 4  1  7      53
 1  4  7      54
 5  0  7      55
 0  5  7      56
 0  0 13      57
 1  0 12      58
 0  1 12      59
 1  1 11      60
 2  0 11      61
 0  2 11      62
 2  1 10      63
 1  2 10      64
 2  2  9      65
 3  0 10      66
 0  3 10      67
 3  1  9      68
 1  3  9      69
 3  2  8      70
 2  3  8      71
 3  3  7      72
 4  0  9      73
 0  4  9      74
 4  1  8      75
 1  4  8      76
 4  2  7      77
 2  4  7      78
 5  0  8      79
